trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
WkOGDLSL0800,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL0900,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1000,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1100,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1200,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1300,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1400,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1500,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1600,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1700,5632,3,Gold Line -  South,"",0,500511,18557,
WkOGDLSL1800,5632,3,Gold Line -  South,"",0,500511,18557,
WkOO1O1 OB0615,6750,3,,"",0,500500,29996,
WkOO1O1 OB0630,6750,3,,"",0,500501,29996,
WkOO1O1 OB0645,6750,3,,"",0,500502,29996,
WkOO1O1 OB0700,6750,3,,"",0,500503,29996,
WkOO1O1 OB0715,6750,3,,"",0,500504,29996,
WkOO1O1 OB0735,6750,3,,"",0,500500,29996,
WkOO1O1 OB0750,6750,3,,"",0,500501,29996,
WkOO1O1 OB0805,6750,3,,"",0,500502,29996,
WkOO1O1 OB0820,6750,3,,"",0,500503,29996,
WkOO1O1 OB0835,6750,3,,"",0,500504,29996,
WkOO1O1 OB0855,6750,3,,"",0,500500,29996,
WkOO1O1 OB0910,6750,3,,"",0,500501,29996,
WkOO1O1 OB0925,6750,3,,"",0,500502,29996,
WkOO1O1 OB0940,6750,3,,"",0,500503,29996,
WkOO1O1 OB0955,6750,3,,"",0,500504,29996,
WkOO1O1 OB1015,6750,3,,"",0,500500,29996,
WkOO1O1 OB1030,6750,3,,"",0,500501,29996,
WkOO1O1 OB1045,6750,3,,"",0,500502,29996,
WkOO1O1 OB1100,6750,3,,"",0,500503,29996,
WkOO1O1 OB1115,6750,3,,"",0,500504,29996,
WkOO1O1 OB1135,6750,3,,"",0,500500,29996,
