stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7248737,,"Access Counseling","",39.509955,-84.3335,,,0,,,0,,
7248738,,"Baverian Woods Dr at Apartment Office","",39.507333,-84.336978,,,0,,,0,,
7248739,,"Baverian Woods Dr at Vienna Forest","",39.506001,-84.335233,,,0,,,0,,
7248741,,"Towne Blvd at Social Security Office","",39.499931,-84.328733,,,0,,,0,,
7248743,,"Union Rd at Route 122","",39.494321,-84.317302,,,0,,,0,,
7248744,,"Atrium Medical Center","",39.498504,-84.315188,,,0,,,0,,
7248745,,"Market St at McDonalds Restaurant","",39.495301,-84.3212,,,0,,,0,,
7248746,,"Roosevelt Blvd at Big Lots","",39.500886,-84.348951,,,0,,,0,,
7248747,,"Roosevelt Blvd at Save-a-lot Grocery","",39.500812,-84.350099,,,0,,,0,,
7248748,,"Marie Dr at Kitty Hawk Plaza","",39.502426,-84.352458,,,0,,,0,,
7248749,,"Marie Dr at Thrift Store","",39.502522,-84.353859,,,0,,,0,,
7248750,,"Breiel Blvd at Shopping Center","",39.505613,-84.354968,,,0,,,0,,
7248751,,"Central Ave at Breiel Blvd Westbound","",39.510837,-84.355165,,,0,,,0,,
7248752,,"Central Ave at Burton","",39.511035,-84.358141,,,0,,,0,,
7248753,,"Central Ave at Senior Center","",39.511213,-84.361575,,,0,,,0,,
7248754,,"Central Ave at Highview St","",39.511346,-84.364629,,,0,,,0,,
7248755,,"Central Ave at Magnolia St","",39.511442,-84.366373,,,0,,,0,,
7248756,,"Central Ave at Glenmore St","",39.511496,-84.367697,,,0,,,0,,
7248757,,"Central Ave at Euclid St","",39.511705,-84.37221,,,0,,,0,,
